Course Title,Survey Score,Q1 - To what extent is the following statement true:  I would recommend others to attend [Course Title],Q2 - [Optional] That's great! What was the main reason you feel this way?,Q3 - [Optional] We're sorry to hear that. What was the main reason you feel this way?,Q4 - [Optional] What was the main reason you feel this way?,"Q5 - To what extent is the following statement true:  I am satisfied with the services offered by [Training Provider Name] (e.g., efficiency in handling registration matters, responsiveness in addressing learner queries etc.).",Q6 - To what extent is the following statement true:  The course content covered the knowledge/skills as outlined in the course synopsis.,Q7 - To what extent is the following statement true:  The course content is relevant to my work.,"Q8 - To what extent is the following statement true:  The course materials supported my learning (e.g., notes, references, presentation slides, etc.).","Q9 - To what extent is the following statement true:  The teaching methods used were innovative (e.g., teaching strategies and activities, technological tools, etc.).",Q10 - The teaching methods used were effective in helping me learn and acquire skills.,Q11_1 - To what extent is the following statement true about your instructor(s):  The instructor(s) demonstrated subject matter expertise (Trainer 1),Q11_2 - To what extent is the following statement true about your instructor(s):  The instructor(s) demonstrated subject matter expertise (Trainer 2),Q11_3 - To what extent is the following statement true about your instructor(s):  The instructor(s) demonstrated subject matter expertise (Trainer 3),Q12_1 - To what extent is the following statement true about your instructor(s):  The instructor(s) was/were engaging in the delivery of the course (Trainer 1),Q12_2 - To what extent is the following statement true about your instructor(s):  The instructor(s) was/were engaging in the delivery of the course (Trainer 2),Q12_3 - To what extent is the following statement true about your instructor(s):  The instructor(s) was/were engaging in the delivery of the course (Trainer 3),Q13 - To what extent is the following statement true:  The course duration was just right.,Q14 - I found the course duration ________.,Q15 - To what extent is the following statement true:  The course met my learning needs.,Q16 - To what extent is the following statement true:  The course provided good value-for-money.,Q17 - Are the following statements true to you (select all that apply)?:,Q25 - To what extent is the following statement true:  The course will help me progress in my work / career.,Q26 - To what extent is the following statement true:  The skills and knowledge acquired in the course will lead to improvements in my performance at work.,Q27 - [Optional] What is one thing we can do to improve future classes?,Trainer Name 1,Trainer Name 2,Trainer Name 3
"Graduate Certificate in Leading Learning, Innovation and Change Across Boundaries - GCLBX (f2f, sync) AY2025",4,To a Large Extent,,,,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Very Large Extent,To a Large Extent,To a Large Extent,To a Very Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,,To a Large Extent,To a Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Large Extent,To a Large Extent,,Lee Kang Yam,CHEN ZAN,PANG YEN-NING
Creating Dynamic Online Courses: The Power of CoI and AI,5,To a Very Large Extent,The facilitator allowed for many opportunities for peer learning ,,,To a Large Extent,To a Very Large Extent,To a Very Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,,,,,,,To a Very Large Extent,,To a Very Large Extent,To a Very Large Extent,"If this course was not subsidised, I am still willing to attend and pay the full course fee.",To a Large Extent,To a Large Extent,Nil,,,
"Graduate Certificate in Innovative Approaches to Adult Learning - GCIAL (f2f, sync) – AY2025",4,To a Large Extent,The classes are interactive and I learned a lot of different knowledge from it,,,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,,To a Large Extent,To a Large Extent,"If this course was not subsidised, I am still willing to attend and pay the full course fee.",To a Large Extent,To a Large Extent,,Bi Xiaofang,Ho Yan Yin,"Chye Yen Leng, Stefanie"
Learning That Works: Designing Evidence-Based Training for Real Workplace Impact,5,To a Very Large Extent,,,,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,,,,,,,To a Very Large Extent,,To a Very Large Extent,To a Very Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Very Large Extent,To a Very Large Extent,,,,
Voice Mastery for Dynamic Facilitation,5,To a Very Large Extent,Teaches practical things that can be applied ,,,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,,,To a Very Large Extent,,,To a Large Extent,,To a Large Extent,To a Large Extent,"If this course was not subsidised, I am still willing to attend and pay the full course fee.",To a Large Extent,To a Large Extent,,Adeline Gan Siew Keng,,
Command the Room: Elevate Your Speaking Influence,5,To a Very Large Extent,,,,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,To a Very Large Extent,,,,,,,To a Very Large Extent,,To a Very Large Extent,To a Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Large Extent,To a Large Extent,,,,
"Graduate Certificate in Leading Learning, Innovation and Change Across Boundaries - GCLBX (f2f, sync) AY2025",4,To a Large Extent,This program educates us on a unique framework in managing complex Organization transformation ,,,To a Large Extent,To a Large Extent,To Some Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,,To a Large Extent,To a Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To Some Extent,To Some Extent,,Lee Kang Yam,CHEN ZAN,PANG YEN-NING
Cultivating Adaptability Navigating Changes,5,To a Very Large Extent,,,,To a Very Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,To a Large Extent,,,,,,,To a Large Extent,,To a Large Extent,To a Large Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To a Large Extent,To a Large Extent,,,,
Future of Learning: Facilitating Next Gen Virtual Classroom Learning,2,To a Small Extent,,,The course is not well organised to a group of adult educators. Overly tool functionality oriented rather than new teaching methodology to improve our learning pedagogy.,To a Small Extent,To Some Extent,To Some Extent,To Some Extent,To Some Extent,To Some Extent,,,,,,,To a Small Extent,,To a Small Extent,To a Small Extent,This course is value for money only because it is subsidised by SkillsFuture Singapore.,To Some Extent,To Some Extent,,,,
Cultivating Adaptability Navigating Changes,2,To a Small Extent,,,,To Some Extent,Not at all,To a Small Extent,To a Small Extent,To a Small Extent,Not at all,,,,,,,To a Small Extent,,Not at all,Not at all,,Not at all,To a Small Extent,,,,
